X,Y,OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
-10.9408,21.0079,114,Mauritania,2021/10/21 12:21:18+00,21.0079,-10.9408,36783,791,0,0,791.0901012,,,2.150449936,478,MRT
57.552152,-20.348404,115,Mauritius,2021/10/21 12:21:18+00,-20.348404,57.552152,16805,141,0,0,1321.389846,,,0.839036001,480,MUS
-102.5528,23.6345,116,Mexico,2021/10/21 12:21:18+00,23.6345,-102.5528,3767758,285347,0,0,2948.345411,,,7.573389798,484,MEX
150.5508,7.4256,117,Micronesia,2021/10/21 12:21:18+00,7.4256,150.5508,1,0,0,0,0.878618811,,,0,583,FSM
28.3699,47.4116,118,Moldova,2021/10/21 12:21:18+00,47.4116,28.3699,321682,7346,0,0,7974.341857,,,2.283621713,498,MDA
7.4167,43.7333,119,Monaco,2021/10/21 12:21:18+00,43.7333,7.4167,3382,35,0,0,8617.877892,,,1.034890597,492,MCO
103.8467,46.8625,120,Mongolia,2021/10/21 12:21:18+00,46.8625,103.8467,344736,1607,0,0,10515.71977,,,0.46615381,496,MNG
19.37439,42.708678,121,Montenegro,2021/10/21 12:21:18+00,42.708678,19.37439,139066,2050,0,0,22142.08151,,,1.474120202,499,MNE
-7.0926,31.7917,122,Morocco,2021/10/21 12:21:18+00,31.7917,-7.0926,942967,14580,0,0,2554.735152,,,1.546183483,504,MAR
35.529562,-18.665695,123,Mozambique,2021/10/21 12:21:18+00,-18.665695,35.529562,151157,1927,0,0,483.6182891,,,1.274833451,508,MOZ
18.4904,-22.9576,124,Namibia,2021/10/21 12:21:18+00,-22.9576,18.4904,128395,3543,0,0,5053.098961,,,2.75945325,516,NAM
84.25,28.1667,125,Nepal,2021/10/21 12:21:18+00,28.1667,84.25,807522,11326,0,0,2771.484097,,,1.402562407,524,NPL
5.55,52.3167,126,Netherlands,2021/10/21 12:21:18+00,52.3167,5.55,2099103,18709,0,0,12250.47306,,,0.891285468,528,NLD
174.886,-40.9006,127,New Zealand,2021/10/21 12:21:18+00,-40.9006,174.886,5316,28,0,0,110.2393849,,,0.526711813,554,NZL
-85.207229,12.865416,128,Nicaragua,2021/10/21 12:21:18+00,12.865416,-85.207229,16241,207,0,0,245.1636744,,,1.27455206,558,NIC
8.081666,17.607789,129,Niger,2021/10/21 12:21:18+00,17.607789,8.081666,6203,205,0,0,25.62520459,,,3.304852491,562,NER
8.6753,9.082,130,Nigeria,2021/10/21 12:21:18+00,9.082,8.6753,209713,2840,0,0,101.7334919,,,1.354231736,566,NGA
21.7453,41.6086,131,North Macedonia,2021/10/21 12:21:18+00,41.6086,21.7453,198156,6998,0,0,9511.274947,,,3.531560992,807,MKD
8.4689,60.472,132,Norway,2021/10/21 12:21:18+00,60.472,8.4689,198161,893,0,0,3655.269401,,,0.450643669,578,NOR
55.923255,21.512583,133,Oman,2021/10/21 12:21:18+00,21.512583,55.923255,304116,4107,0,0,5955.326241,,,1.350471531,512,OMN
